# SPARC Rotation Curves from VizieR (J/AJ/152/157)
# Reference: Lelli, McGaugh & Schombert (2016), AJ, 152, 157
# Format: Galaxy  D(Mpc)  R(kpc)  Vobs  e_Vobs  Vgas  Vdisk  Vbul
#
ESO079-G014            28.7    13.36   175.00   2.18    36.20   132.99     0.00
ESO079-G014            28.7    15.06   177.00   2.23    39.42   128.51     0.00
ESO079-G014            28.7    16.67   178.00   2.03    40.49   124.23     0.00
ESO116-G012            13.0     0.25    20.90   3.40    -0.22    17.33     0.00
ESO116-G012            13.0     0.83    40.00   3.29    -1.80    34.96     0.00
ESO116-G012            13.0     1.38    51.50   2.96    -1.55    51.34     0.00
ESO116-G012            13.0     1.85    67.90   3.45     5.01    61.73     0.00
ESO116-G012            13.0     2.68    80.20   2.93    12.54    60.49     0.00
ESO116-G012            13.0     3.19    83.30   3.08    16.68    63.17     0.00
ESO116-G012            13.0     3.68    91.40   2.83    20.19    65.14     0.00
ESO116-G012            13.0     4.13   102.00   5.40    22.31    66.32     0.00
ESO116-G012            13.0     5.23   105.00   4.21    25.63    64.52     0.00
ESO116-G012            13.0     6.05   109.00   2.10    27.28    60.09     0.00
ESO116-G012            13.0     6.81   108.00   2.10    28.58    55.74     0.00
ESO116-G012            13.0     7.56   109.00   2.10    30.70    53.61     0.00
ESO116-G012            13.0     8.32   110.00   2.10    33.83    51.18     0.00
ESO116-G012            13.0     9.09   111.00   2.33    35.49    49.08     0.00
ESO116-G012            13.0     9.86   112.00   4.74    33.74    46.34     0.00
ESO444-G084             4.8     0.26    18.30   1.80     4.59     8.31     0.00
ESO444-G084             4.8     0.77    35.30   3.00    11.55    14.79     0.00
ESO444-G084             4.8     1.29    47.80   4.63    16.45    14.54     0.00
ESO444-G084             4.8     1.81    52.80   1.26    19.03    13.66     0.00
ESO444-G084             4.8     2.32    58.00   3.11    20.09    12.28     0.00
ESO444-G084             4.8     3.39    63.10   1.35    17.39     9.97     0.00
ESO444-G084             4.8     4.44    62.70   7.36    14.45     8.53     0.00
ESO563-G021            60.8     0.45    18.90   9.78     0.00    65.19     0.00
ESO563-G021            60.8     1.34    58.30  10.50     0.00   120.17     0.00
ESO563-G021            60.8     2.23    74.10   5.69     0.00   137.48     0.00
ESO563-G021            60.8     3.12   119.00   4.27     0.00   146.18     0.00
ESO563-G021            60.8     4.01   141.00   3.76     0.00   157.86     0.00
ESO563-G021            60.8     4.90   195.00   4.54     0.00   175.79     0.00
ESO563-G021            60.8     5.79   227.00   4.20     0.00   199.19     0.00
ESO563-G021            60.8     6.69   246.00   4.24     0.00   217.87     0.00
ESO563-G021            60.8     7.58   268.00   5.56     0.00   228.65     0.00
ESO563-G021            60.8     8.47   283.00   2.96     0.00   241.76     0.00
ESO563-G021            60.8    10.23   291.00   9.81     0.00   260.94     0.00
ESO563-G021            60.8    12.06   310.00   4.74     0.04   275.04     0.00
ESO563-G021            60.8    13.44   310.00  20.40     0.40   277.98     0.00
ESO563-G021            60.8    15.18   310.00  16.10     3.11   282.25     0.00
ESO563-G021            60.8    16.83   314.00  13.50    15.18   283.33     0.00
ESO563-G021            60.8    18.56   317.00  12.70    22.91   276.47     0.00
ESO563-G021            60.8    20.30   319.00  10.40    33.06   272.19     0.00
ESO563-G021            60.8    21.94   318.00  10.80    33.62   273.00     0.00
ESO563-G021            60.8    23.68   317.00   9.30    39.67   271.34     0.00
ESO563-G021            60.8    25.41   317.00   7.23    44.98   261.62     0.00
ESO563-G021            60.8    27.06   312.00   8.39    46.29   252.97     0.00
ESO563-G021            60.8    28.80   312.00   8.37    43.21   243.84     0.00
ESO563-G021            60.8    30.53   311.00  11.50    45.08   233.85     0.00
ESO563-G021            60.8    32.18   310.00  14.50    52.43   224.75     0.00
ESO563-G021            60.8    33.91   313.00  15.90    59.70   216.21     0.00
ESO563-G021            60.8    35.65   320.00   8.83    61.56   208.83     0.00
ESO563-G021            60.8    37.30   321.00   7.88    63.33   202.65     0.00
ESO563-G021            60.8    39.03   320.00   8.00    62.96   196.77     0.00
ESO563-G021            60.8    40.76   315.00   9.82    62.40   191.39     0.00
ESO563-G021            60.8    42.41   312.00   9.07    62.21   186.89     0.00
F561-1                 66.4     1.61    23.40  10.00     5.21    28.61     0.00
F561-1                 66.4     3.23    40.60   5.00    10.57    37.58     0.00
F561-1                 66.4     4.84    45.50   5.00    15.71    39.10     0.00
F561-1                 66.4     6.45    49.20   5.00    20.94    44.01     0.00
F561-1                 66.4     8.06    50.40   5.00    25.97    48.52     0.00
F561-1                 66.4     9.66    50.40   5.00    29.26    49.44     0.00
F563-1                 48.9     1.07    22.10   7.17     1.98    18.30     0.00
F563-1                 48.9     1.78    42.70  10.66     4.03    24.51     0.00
F563-1                 48.9     2.49    60.60   7.69     6.25    27.45     0.00
F563-1                 48.9     2.97    76.80  11.10     7.78    28.28     0.00
F563-1                 48.9     3.04    81.60  17.50     8.01    28.20     0.00
F563-1                 48.9     3.19    87.00   8.93     8.49    28.16     0.00
F563-1                 48.9     6.95    90.00  24.80    17.83    29.57     0.00
F563-1                 48.9     8.58    97.80   9.40    22.83    29.09     0.00
F563-1                 48.9     9.26    93.70  25.30    24.91    28.73     0.00
F563-1                 48.9     9.89   103.00  23.80    26.69    28.70     0.00
F563-1                 48.9    10.08    97.40  11.00    27.31    28.73     0.00
