name,ra,e_ra,dec,e_dec,total_flux,e_total_flux,peak_flux,e_peak_flux,dc_maj,e_dc_maj,dc_min,e_dc_min,dc_pa,e_dc_pa,isl_rms,s_code
APTF_J221346+423440,333.442410055625,1.99852243341402,42.5778834806197,2.31281593974426,0.3186702663441,0.0756224394878222,0.24180931636521,0.0369763163393888,0.0,20.7360639775477,0.0,12.7127689349826,0.0,,0.03371830098,S
APTF_J221357+423515,333.489688624115,1.12898522079937,42.5875773573268,1.13366348028591,0.86343477741213,0.0752286563582394,0.82736272071486,0.0530130885501793,0.0,7.88844632374498,0.0,3.7648172639727,0.0,,0.03450214717,S
APTF_J221406+423720,333.526539722389,1.79922540167769,42.6222833487602,2.19511824148552,0.32821607669103,0.0722838320223229,0.26834753755458,0.0373495173454937,0.0,17.7797074339849,0.0,10.5462539474852,0.0,,0.03424933311,S
APTF_J221242+423217,333.17751755995,2.1102861531981,42.5381416958926,2.96561790561136,0.32298481444944,0.0858160371794804,0.25048314314859,0.0412975607751432,14.72232292992,9.79298495622597,0.0,10.0283475903977,-40.0830252738372,39.2110983570858,0.03977118831,S
APTF_J221245+423308,333.189704411549,1.9948477187383,42.5523129378226,2.26490739878637,0.43791641669688,0.0966151468762378,0.27643468400658,0.0417412639514827,14.625584823276,6.82968003441801,5.00678702982,6.46228486027473,81.1784176459441,48.5799138906659,0.03672310413,S
APTF_J221245+423449,333.188110823107,1.79816700806233,42.5803037141107,2.38982214585901,0.35947386504612,0.0807344955635178,0.27768112992741,0.039697629432775,9.148860345348,9.20275307020688,7.853051086956,0.999147837211012,-28.96140963923,61.2918826743672,0.03670912338,S
APTF_J221249+423510,333.204631176156,1.52425105090078,42.5861168251325,1.8244777625262,0.36236174675283,0.0653770302982476,0.37531142501952,0.0401570381646299,0.0,12.2118967057302,0.0,5.08086957712921,0.0,,0.03760540494,S
APTF_J221259+423419,333.246434547901,0.928005695178142,42.5720669237891,0.838695828026058,2.41821667551618,0.143759190812305,1.82951753559894,0.0983705965665857,12.298460608764,1.43363317799622,4.011537727944,2.37302548559283,-43.6738985216942,9.73935340574098,0.03569661931,S
APTF_J221258+423507,333.244176391016,1.99855026200968,42.5853601933879,2.56495475329008,0.39932733025812,0.0935379032306661,0.25222340562441,0.040017383143543,13.56104804886,8.71838963089732,9.65187658584,4.09983800288592,-54.7167450772702,89.3532278422598,0.03597770774,S
APTF_J221309+423619,333.289911649768,3.27403860262218,42.6054574820905,2.18504015493018,0.69620390888334,0.107706047112126,0.35208421420359,0.0407871536529384,25.707590972784,11.4069503929642,0.0,5.73530920814518,37.866358824639,12.7087841330088,0.03679244037,M
APTF_J221302+423621,333.259919181835,2.07751690533327,42.6058692362521,2.98093137547106,0.22660658951733,0.0676286932744704,0.21811963221048,0.0373323303260371,6.447707081172,11.5613642545208,0.0,5.54111951504885,-43.7145031237388,64.8057229000481,0.03754114005,S
APTF_J221224+423729,333.10074736325,1.52519432338343,42.6249880002341,1.85059714872333,0.44991408082104,0.0758502535254199,0.36778588308198,0.0400047885984833,8.127483448896,7.06379868347037,6.037731942264,3.49505826686559,-53.1965971406736,80.9922196002608,0.03539624231,S
APTF_J221232+423738,333.137413791555,2.25525188069897,42.6274375938528,4.04211359651588,0.36753255064581,0.0950353229781082,0.19916619680166,0.0346531649157575,27.64335488418,12.2374676710332,5.244102056952,4.85983569906714,18.3114219095889,28.8700405430947,0.03490184099,S
APTF_J221248+423646,333.204160712743,2.12100181633057,42.6128178504432,3.32916435334191,0.22576722462591,0.0686593497218872,0.20343677642838,0.0355759196856265,0.0,21.8537345378749,0.0,4.10307709968169,0.0,,0.03632785956,S
