======================================================================
TMT v2.0 - TEST SUR DONNÉES SPARC RÉELLES
======================================================================

Échantillon: 175 galaxies

Loi calibrée:
  k = 3.9689 × (M/10^10)^-0.480
  R² = 0.3736

Paramètres optimaux:
  r_c médian = 4.9 kpc
  n médian   = 0.57

Performance:
  Amélioration médiane: 97.5%
  Galaxies améliorées: 169/175

======================================================================
DÉTAILS PAR GALAXIE
======================================================================

Galaxie            M_bary    k_opt      r_c      n   Improv
UGC07399         1.62e+09   39.353      0.1   0.57    99.0%
F583-4           1.56e+09   11.351      0.1   0.31    99.1%
UGC04305         1.42e+09    0.549    200.0   0.41     6.8%
NGC2915          1.25e+09   30.424      0.2   0.73    96.3%
F563-V1          1.24e+09    1.071    200.0   0.22    51.1%
UGC05721         1.22e+09   30.773      0.1   0.51    98.3%
NGC2366          1.09e+09   11.515      0.5   0.41    98.8%
UGC05414         1.08e+09   11.364      0.8   0.50    99.7%
UGC00891         9.94e+08   14.039      1.5   1.09    99.7%
UGC07690         9.47e+08   12.667      0.3   0.31    99.1%
UGC02023         9.20e+08    9.092      2.5   1.98    99.2%
NGC4214          8.52e+08   27.138      0.8   1.10    95.9%
UGC08837         8.39e+08    7.926      2.3   1.07    96.5%
UGC07608         7.93e+08   32.340      0.1   0.53    94.9%
UGC08550         7.56e+08   24.385      0.1   0.45    97.2%
NGC3109          6.84e+08   30.618      0.1   0.53    99.4%
UGC01281         6.78e+08   23.861      0.1   0.43    98.6%
DDO168           6.24e+08   18.041      1.2   1.21    97.3%
D631-7           5.56e+08   14.936      2.1   1.94    99.6%
NGC1705          5.49e+08   43.769      0.3   0.84    99.4%
UGC09992         4.98e+08    7.539      0.2   0.10    89.4%
UGCA442          4.96e+08   22.432      0.9   1.08    98.3%
UGC07603         4.90e+08   33.456      0.4   0.81    99.8%
DDO064           4.43e+08   28.225      0.1   0.38    94.5%
UGC05918         4.03e+08   25.609      0.1   0.45    88.5%
UGC05764         3.77e+08   46.738      0.1   0.57    89.5%
DDO154           3.64e+08   24.998      0.3   0.62    99.8%
NGC4068          3.52e+08   12.351      1.4   0.94    98.7%
NGC3741          3.04e+08   43.214      0.1   0.61    99.5%
KK98-251         2.77e+08   14.180      0.6   0.40    99.0%
PGC51017         2.59e+08    0.682    200.0   0.47   -29.2%
ESO444-G084      2.53e+08   53.734      0.2   0.83    98.0%
D512-2           2.38e+08   28.507      0.1   0.41    98.7%
UGC07559         2.30e+08   16.354      0.6   0.46    96.9%
UGC07866         1.83e+08   21.165      0.1   0.26    97.4%
UGCA444          1.25e+08   33.521      0.1   0.39    92.9%
UGC07232         8.74e+07   60.327      0.4   1.58    97.3%
CamB             6.61e+07    3.288      1.7   5.00    49.7%
NGC6789          6.09e+07  100.000      0.1   1.08    95.4%
UGC07577         6.03e+07    6.876      1.7   3.99    94.1%
UGCA281          6.00e+07   56.127      0.1   0.40    99.2%
D564-8           5.62e+07   41.941      0.4   0.93   100.0%
UGC04483         5.03e+07   43.357      0.1   0.35    98.9%
